OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point
18348,San Bruno Ave&Woolsey St W-NS/BZ,SBROWLS0,SBROWLSY,6372,37.72531,-122.40271,0,WOOLSEY ST,SAN BRUNO AVE,NS,NW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128270,114,,"(37.72530999976213, -122.40270999946033)"
18349,Sunnydale Ave&Talbert St E-NS/PS,SUNYTAL0,SUNYTALB,6583,37.70935,-122.40669,0,TALBERT ST,SUNNYDALE AVE,NS,E   ,,0,08/25/2018 02:14:39 PM +0000,1128279,114,,"(37.709349999565426, -122.40668999945244)"
18350,Sunnydale Ave&Rutland St E-NS/PS,SUNYRUT0,SUNYRUTL,6576,37.70986,-122.40851,0,RUTLAND ST,SUNNYDALE AVE,NS,E   ,,0,08/25/2018 02:14:39 PM +0000,1128280,114,,"(37.70985999990207, -122.40851000020685)"
18351,Sunnydale Ave&Cora St N-FS/PS,SUNYCOR1,SUNYCORA,6571,37.710203,-122.409612,0,CORA ST,SUNNYDALE AVE,FS,SE  ,,0,08/25/2018 02:14:39 PM +0000,1128281,114,,"(37.71020299979329, -122.40961200053594)"
18352,Schwerin St&Sunnydale Ave W-FS/PS,SHWNSUN0,SHWNSUNY,6387,37.71036,-122.41151,0,SUNNYDALE AVE,SCHWERIN ST,FS,W   ,,0,08/25/2018 02:14:39 PM +0000,1128282,114,,"(37.71036000028688, -122.41151000016245)"
18353,Schwerin St&Garrison Ave N-NS/SB,SHWNGAR0,SHWNGARR,6382,37.70931,-122.412,0,GARRISON AVE,SCHWERIN ST,NS,N   ,,0,08/25/2018 02:14:39 PM +0000,1128283,114,,"(37.709310000340395, -122.41199999957071)"
18354,Schwerin St&Velasco Ave N-NS/PS,SHWNVEL0,SHWNVELA,6389,37.70813,-122.41254,0,VELASCO AVE,SCHWERIN ST,NS,N   ,,0,08/25/2018 02:14:39 PM +0000,1128284,114,,"(37.7081299998895, -122.41253999960203)"
18355,Schwerin St&Geneva Ave N-NS/PS,SHWNGNV0,SHWNGNVA,6384,37.706528,-122.413359,0,GENEVA AVE,SCHWERIN ST,NS,N   ,,0,08/25/2018 02:14:39 PM +0000,1128285,114,,"(37.70652800000749, -122.41335899946398)"
18356,Geneva Ave&Rio Verde St NE-NS/SB,GNVARVD1,,7127,37.707136,-122.415706,0,RIO VERDE ST,GENEVA AVE,NS,NE,,0,08/25/2018 02:14:39 PM +0000,1128286,114,,"(37.70713599994217, -122.41570600021619)"
18357,Geneva Ave&Castillo St E-NS/PS,GNVACAS0,GNVACAST,4808,37.7079,-122.41823,0,CASTELO ST,GENEVA AVE,NS,E   ,,0,08/25/2018 02:14:39 PM +0000,1128287,114,,"(37.70789999992999, -122.41823000052293)"
18358,Geneva Ave&Santos St E-NS/PS,GNVASANE,GNVASANT,4899,37.708368,-122.419954,0,SANTOS ST,GENEVA ST,NS,E   ,,0,08/25/2018 02:14:39 PM +0000,1128288,114,,"(37.70836800014645, -122.41995400014882)"
18359,1800 Sunnydale Ave NE-FS/SB,SUNY1800,SUNY1800,6566,37.712972,-122.419952,0,,SUNNYDALE AVE,FS,NE  ,,0,08/25/2018 02:14:39 PM +0000,1128291,114,,"(37.71297199964294, -122.4199520005653)"
18360,1900 Sunnydale Ave NE-FS/SB,SUNY1900,SUNY1900,6567,37.7134,-122.42138,0,,SUNNYDALE AVE,FS,NE  ,,0,08/25/2018 02:14:39 PM +0000,1128292,114,,"(37.713399999886704, -122.42138000022351)"
18361,McLaren School NE-FS/SB,SUNYMCS0,SUNYMCSC,6574,37.713704,-122.422116,0,SUNNYDALE AVE,SUNNYDALE AVE,FS,NE  ,,0,08/25/2018 02:14:39 PM +0000,1128293,114,,"(37.71370400037401, -122.42211599950105)"
18362,1901 Sunnydale Ave SW-MB/SB,SUNY1901,SUNY1901,6568,37.71322,-122.42115,0,,SUNNYDALE AVE,MB,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128294,114,,"(37.71321999997172, -122.42115000054437)"
18363,1725 Sunnydale Ave SW-MB/SB,SUNY1721,SUNY1725,6565,37.71279,-122.41954,0,,SUNNYDALE AVE,MB,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128295,114,,"(37.71279000035848, -122.4195400003951)"
18364,Santos St&Geneva Ave N-NS/SB,SANTGNV0,SANTGNVA,6344,37.7085,-122.42008,0,GENEVA AVE,SANTIAGO ST,NS,N   ,,0,08/25/2018 02:14:39 PM +0000,1128298,114,,"(37.708499999656034, -122.42007999980892)"
18365,Geneva Ave&Castillo St SW-MI/PS,GNVACAS1,GNVACAST,4809,37.7077,-122.41841,0,CASTELO ST,GENEVA AVE,MI,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128299,114,,"(37.70770000006504, -122.41840999970802)"
18366,Mansell St&Somerset St S-NS/PS,MANSSOM0,MANSSOME,5351,37.720418,-122.405094,0,SOMERSET ST,MANSELL ST,NS,S   ,,0,08/25/2018 02:14:39 PM +0000,1128304,114,,"(37.72041800021716, -122.40509400024833)"
18367,Potrero Ave&24th St NE-FS/BZ,POTR24S1,POTR24ST,6038,37.753111,-122.406336,0,24TH ST,POTRERO AVE,FS,NE  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128306,114,,"(37.75311099985888, -122.40633599999856)"
18368,Potrero Ave&16th St NE-FS/BZ,POTR16S1,POTR16ST,6026,37.766031,-122.407474,0,16TH ST,POTRERO AVE,FS,N   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128307,114,,"(37.76603099973013, -122.40747400025906)"
18369,Main St&Mission St N-FS/BZ,MAINMIS0,MAINMISS,5335,37.791991,-122.395033,0,MISSION ST,MAIN ST,FS,N   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128310,114,,"(37.791991000063376, -122.39503299947498)"
18370,Schwerin St&Macdonald Ave S-NS/PS,SHWNMAC1,SHWNMACD,6385,37.70709,-122.41293,0,MACDONALD AVE,SCHWERIN ST,NS,S   ,,0,08/25/2018 02:14:39 PM +0000,1128318,114,,"(37.70708999974513, -122.41293000027743)"
18371,Schwerin St&Velasco Ave E-FS/SB,SHWNVEL1,SHWNVELA,6388,37.70826,-122.41234,0,VELASCO AVE,SCHWERIN ST,FS,E   ,,0,08/25/2018 02:14:39 PM +0000,1128319,114,,"(37.70825999990614, -122.41233999970486)"
18372,Schwerin St&Garrison Ave SE-MB/SB,SHWNGAR1,SHWNGARR,6383,37.70906,-122.41198,0,GARRISON AVE,SCHWERIN ST,MB,SE  ,,0,08/25/2018 02:14:39 PM +0000,1128320,114,,"(37.70905999966811, -122.41197999997136)"
18373,Schwerin St&Sunnydale Ave S-NS/PS,SHWNSUN1,SHWNSUNY,6386,37.71049,-122.41136,0,SUNNYDALE AVE,SCHWERIN ST,NS,S   ,,0,08/25/2018 02:14:39 PM +0000,1128321,114,,"(37.71048999958523, -122.41135999969836)"
18374,Sunnydale Ave&Cora St SE-FS/PS,SUNYCOR0,SUNYCORA,6570,37.710007,-122.409521,0,CORA ST,SUNNYDALE AVE,FS,N   ,,0,08/25/2018 02:14:39 PM +0000,1128322,114,,"(37.71000700002418, -122.40952100010405)"
18375,Sunnydale Ave&Talbert St W-NS/PS,SUNYTAL1,SUNYTALB,6584,37.70935,-122.407,0,TALBERT ST,SUNNYDALE AVE,NS,W   ,,0,08/25/2018 02:14:39 PM +0000,1128323,114,,"(37.709350000406495, -122.4069999998188)"
18376,Sunnydale Ave&Bayshore Blvd SW-NS,SUNYBSH0,,7297,37.708801,-122.40525,0,BAYSHORE BLVD,SUNNYDALE AVE,,,,0,08/25/2018 02:14:39 PM +0000,1128324,114,,"(37.70880100041585, -122.40524999947225)"
18377,Bay Shore Blvd&Silver Ave N-FS/BZ,BSHRSIL1,BSHRSILV,3788,37.733213,-122.40472,0,SILVER AVE,BAY SHORE BLVD,FS,NE  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128334,114,,"(37.73321300033257, -122.40471999967467)"
18378,Rhode Island St&19th St NW-MI/SB,R IS19S0,R IS19ST,6193,37.760953,-122.402298,0,19TH ST,RHODE ISLAND ST,MI,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128776,114,,"(37.760953000399404, -122.40229800010546)"
18379,Rhode Island St&20th St SW-FS/SB,R IS20S0,R IS20ST,6195,37.759436,-122.402161,0,20TH ST,RHODE ISLAND ST,FS,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128777,114,,"(37.75943599957442, -122.40216099983388)"
18380,Rhode Island St&Southern Height NW,R ISSHG0,R ISSHGT,6204,37.758499,-122.40207,0,SOUTHERN HEIGHTS AVE,RHODE ISLAND ST,NS,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128778,114,,"(37.75849900014164, -122.4020700000977)"
18381,Rhode Island St&22nd St SW-FS/SB,R IS22S0,R IS22ST,6196,37.756884,-122.401911,0,22ND ST,RHODE ISLAND ST,FS,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128779,114,,"(37.7568840000916, -122.40191099961456)"
18382,1076 Rhode Island St W-MB/AB,R IS1070,R IS1076,6186,37.75617,-122.401842,0,,RHODE ISLAND ST,MB,W   ,AB,0,08/25/2018 02:14:39 PM +0000,1128780,114,,"(37.75617000038948, -122.4018419998553)"
18383,Connecticut St&26TH St NW-NS/SB,CONN26S0,CONN26ST,4130,37.751269,-122.396517,0,26TH ST,CONNECTICUT ST,NS,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128788,114,,"(37.75126899976187, -122.3965170000065)"
18384,Mission St&26th St SW-FS/BZ,MISS26S0,MISS26ST,5568,37.74857,-122.41818,0,26TH ST,MISSION ST,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128452,114,,"(37.748570000088556, -122.41818000026508)"
18385,Morse St&Lowell St S-NS/BZ,MORSLOWL,,7742,37.711021,-122.446211,,BRUNSWICK ST,LOWELL ST,,,,,08/25/2018 02:14:39 PM +0000,1128457,114,,"(37.7110210000081, -122.44621100053578)"
18386,Mission St&6th St W-FS/BZ,MISS 6S0,MISS 6ST,5538,37.78075,-122.4091,0,6TH ST,MISSION ST,FS,W   ,BZ,0,08/25/2018 02:14:39 PM +0000,1128465,114,,"(37.78075000020147, -122.40910000042828)"
18387,Mission St&7th St W-FS/BZ,MISS 7S0,MISS 7ST,5539,37.77897,-122.41135,0,7TH ST,MISSION ST,FS,W   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128466,114,,"(37.77897000032834, -122.4113500003524)"
18388,Mission St&9th St W-FS/BZ,MISS 9S0,MISS 9ST,5543,37.77594,-122.41518,0,9TH ST,MISSION ST,FS,W   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128468,114,,"(37.7759400000842, -122.41517999973215)"
18389,Otis St&12th St W-FS/BZ,OTIS12S0,OTIS12ST,5836,37.77281,-122.41917,0,12TH ST,OTIS ST,FS,W   ,BZ,0,08/25/2018 02:14:39 PM +0000,1128469,114,,"(37.77281000035825, -122.41917000016403)"
18390,150 Otis St NW-MB/BB,OTIS 150,OTIS 150,5835,37.77073,-122.42031,0,DUBOCE AVE,OTIS ST,MB,NW  ,BB,0,08/25/2018 02:14:39 PM +0000,1128470,114,,"(37.770729999574826, -122.42030999961578)"
18391,Mission St&14th St SW-FS/BZ,MISS14S0,MISS14ST,5548,37.7678,-122.42002,0,14TH ST,MISSION ST,FS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1128471,114,,"(37.76779999989295, -122.42001999975498)"
